FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,WORKDAY_OPER_TIME_DC,WKEND_OPER_TIME_DC,FRE_PARKNG_AT,VALET_PARKNG_POSBL_AT,INFN_CHAIR_LEND_POSBL_AT,WCHAIR_HOLD_AT,PET_POSBL_AT,VGTR_MENU_HOLD_AT,HALAL_FOOD_HOLD_AT,GFRE_FOOD_HOLD_AT,LAST_UPDT_DE,INSTA_URL,PET__TYPE_DETAILS,PET_AGE_DETAILS
그로또,음식점/유흥시설,유럽음식,이탈리아,경기도,수원시 영통구,영통동,,1030-2 번지,청명북로,2,37.251808,127.078943,16705,경기도 수원시 영통구 청명북로 2,경기도 수원시 영통구 영통동 1030-2,0312057220,월-금 10시-22시,토 10시-22시,Y,N,N,N,Y,N,N,N,20221130,https://www.instagram.com/grotto_since2011,대형 애완동물 출입 불가,나이 제한 X
꾸안,음식점/유흥시설,동남아시아음식,기타,경기도,수원시 팔달구,신풍동,,21 번지,화서문로,60,37.285528,127.014703,16252,경기도 수원시 팔달구 화서문로 60,경기도 수원시 팔달구 신풍동  21,050713583832,월-금 11시-21시,토-일 11시-21시,Y,N,N,N,Y,N,N,N,20221130,N,품종 제한 X,나이 제한 X
리블럽,음식점/유흥시설,유럽음식,프랑스,경기도,수원시 팔달구,신풍동,,33-3 번지,신풍로,45,37.28517,127.014105,16251,경기도 수원시 팔달구 신풍로 45,경기도 수원시 팔달구 신풍동 33-3,0312555527,"월,수,목,금 11시-20시30분",11시-20시30분,N,N,N,N,Y,N,N,N,20221130,https://www.instagram.com/lifelivelove.official,대형 애완동물 출입 불가,6개월 이하 출입 불가
블루오즈,음식점/유흥시설,오세아니아음식,호주,경기도,수원시 영통구,이의동,,1305-4 번지,센트럴파크로127번길,80-8,37.294468,127.051446,16506,경기도 수원시 영통구 센트럴파크로127번길 80-8,경기도 수원시 영통구 이의동 1305-4,050713494746,화-금 10시-19시,토-일 10시-19시,Y,N,N,N,Y,N,N,N,20221130,https://www.instagram.com/blue_auz,대형 애완동물 출입 불가,6개월 이하 출입 불가
비스트로랑랑,음식점/유흥시설,동남아시아음식,인도,경기도,수원시 영통구,영통동,,978-1 번지,영통로213번길,24,37.246505,127.055589,16698,경기도 수원시 영통구 영통로213번길 24,경기도 수원시 영통구 영통동 978-1,0312043359,월-금 17시-24시,토 17시-24시,Y,N,N,N,Y,N,N,N,20221130,https://www.instagram.com/bistro_langlang,품종 제한 X,나이 제한 X
오피큐알,음식점/유흥시설,북미음식,미국,경기도,수원시 팔달구,장안동,,89-2 번지,화서문로45번길,31,37.286693,127.012347,16250,경기도 수원시 팔달구 화서문로45번길 31,경기도 수원시 팔달구 장안동 89-2,0312555448,11시30분-15시 16시-22시,11시30분-15시 16시30분-22시,N,N,N,N,Y,N,N,N,20221010,https://www.instagram.com/oh_pqr,대형 애완동물 출입 불가,나이 제한 X
유바에,음식점/유흥시설,동아시아음식,일본,경기도,수원시 영통구,영통동,,998-8 번지,청명남로,31,37.25295,127.075296,16704,경기도 수원시 영통구 청명남로 31,경기도 수원시 영통구 영통동 998-8 키라레스토아,050714120045,월-금 16시30분-01시,"토 16시30분-01시, 일 16시30분-23시",Y,N,N,N,Y,N,N,N,20221130,N,품종 제한 X,6개월 이하 출입 불가
포베이,음식점/유흥시설,동남아시아음식,인도,경기도,수원시 팔달구,매산로1가,,18 번지,덕영대로,924,37.266039,127.000664,16622,경기도 수원시 팔달구 덕영대로 924,경기도 수원시 팔달구 매산로1가  18,0312401379,11시-22시,11시-22시,Y,N,N,N,Y,N,N,N,20221130,N,대형 애완동물 출입 불가,6개월 이하 출입 불가
포수아,음식점/유흥시설,동남아시아음식,베트남,경기도,수원시 팔달구,인계동,,1113-9 번지,효원로265번길,40,37.263815,127.031622,16490,경기도 수원시 팔달구 효원로265번길 40,경기도 수원시 팔달구 인계동  1113-9,0312236315,10시-22시,10시-22시,Y,N,N,N,Y,N,N,N,20221130,N,대형 애완동물 출입 불가,나이 제한 X
포킹,음식점/유흥시설,동남아시아음식,베트남,경기도,수원시 팔달구,화서동,,97-1 번지,동말로,72,37.278571,127.00208,16441,경기도 수원시 팔달구 동말로 72,경기도 수원시 팔달구 화서동  97-1,050714908771,10시-22시,10시-22시,N,N,N,N,Y,N,N,N,20221130,N,대형 애완동물 출입 불가,나이 제한 X
